日期,股票代码,名称,涨跌幅
2012/11/7,'399300,沪深300,-0.2051
2012/11/6,'399300,沪深300,-0.4203
2012/11/5,'399300,沪深300,-0.2122
2012/11/2,'399300,沪深300,0.3869
2012/11/1,'399300,沪深300,1.9099
2012/10/31,'399300,沪深300,0.6669
2012/10/30,'399300,沪深300,0.1802
2012/10/29,'399300,沪深300,-0.5362
2012/10/26,'399300,沪深300,-1.8912
2012/10/25,'399300,沪深300,-0.7167
2012/10/24,'399300,沪深300,-0.1859
2012/10/23,'399300,沪深300,-1.2605
2012/10/22,'399300,沪深300,0.3911
2012/10/19,'399300,沪深300,-0.1544
2012/10/18,'399300,沪深300,1.5331
2012/10/17,'399300,沪深300,0.1149
2012/10/16,'399300,沪深300,0.144
2012/10/15,'399300,沪深300,-0.4198
2012/10/12,'399300,沪深300,0.0868
2012/10/11,'399300,沪深300,-0.9287
2012/10/10,'399300,沪深300,0.1707
2012/10/9,'399300,沪深300,2.2071
2012/10/8,'399300,沪深300,-1.0053
2012/9/28,'399300,沪深300,1.8381
2012/9/27,'399300,沪深300,3.0586
2012/9/26,'399300,沪深300,-1.143
2012/9/25,'399300,沪深300,-0.242
2012/9/24,'399300,沪深300,0.7482
2012/9/21,'399300,沪深300,0.1417
2012/9/20,'399300,沪深300,-2.2386
2012/9/19,'399300,沪深300,0.492
2012/9/18,'399300,沪深300,-1.0389
2012/9/17,'399300,沪深300,-2.4546
2012/9/14,'399300,沪深300,0.7431
2012/9/13,'399300,沪深300,-0.9314
2012/9/12,'399300,沪深300,0.3539
2012/9/11,'399300,沪深300,-0.6351
2012/9/10,'399300,沪深300,0.4094
2012/9/7,'399300,沪深300,4.4799
2012/9/6,'399300,沪深300,0.8159
2012/9/5,'399300,沪深300,-0.2056
2012/9/4,'399300,沪深300,-1.0753
2012/9/3,'399300,沪深300,1.0659
2012/8/31,'399300,沪深300,-0.294
2012/8/30,'399300,沪深300,-0.1555
2012/8/29,'399300,沪深300,-1.0542
2012/8/28,'399300,沪深300,0.4581
2012/8/27,'399300,沪深300,-2.0861
2012/8/24,'399300,沪深300,-1.152
2012/8/23,'399300,沪深300,0.2881
2012/8/22,'399300,沪深300,-0.783
2012/8/21,'399300,沪深300,0.5176
2012/8/20,'399300,沪深300,-0.5052
